Avistaje ID,Focal Sample ID,Focal Animal,Focal Age-Sex Class,Time Start,FS Rev by PI,FS Rev by Assistant,Focal Data Checked by PI,Focal Data Checked by Assistant,Inter-Observer Rel,Comments,Dictaphone File Name,Time End,Dictaphone Used,Transcribed,Date of Transcription,End Early,Focal Completion,Start Focal in Sleep Tree,Start Sleep Tree ID,End Focal in Sleep Tree,End Sleep Tree ID
AV27529,FS27468,INF14B/,INF14,12/30/1899 12:31:00,0,0,0,0,0,,,12/30/1899 12:51:00,,0,4/7/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27529,FS27469,Luciferus/,AM,12/30/1899 10:18:00,0,0,0,0,0,,,12/30/1899 10:28:28,,0,4/7/15 0:00,1,Focal Aborted - Less than 10 minutes,0,,0,
AV27529,FS27470,Lulu/,AF,12/30/1899 12:04:00,0,0,0,0,0,,,12/30/1899 12:24:00,,0,4/7/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27529,FS27471,INF14B/,INF14,12/30/1899 14:47:00,0,0,0,0,0,Noooooooo!! After scan 2s I forgot to pause my recording and accidentally paused the dictaphone as I was speaking and recorded when I was not speaking for the rest of the focal... :(,,12/30/1899 14:51:00,,0,4/7/15 0:00,0,Focal Aborted - Less than 10 minutes,0,,0,
AV27529,FS27472,Lulu/,AF,12/30/1899 15:25:00,0,0,0,0,0,,,12/30/1899 15:45:00,,0,4/7/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27529,FS27473,INF14A/,INF14,12/30/1899 15:54:00,0,0,0,0,0,,,12/30/1899 16:14:00,,0,4/7/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27529,FS27474,Lulu/,AF,12/30/1899 16:16:00,0,0,0,0,0,,,12/30/1899 16:36:00,,0,4/7/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27529,FS27475,INF14A/,INF14,12/30/1899 16:40:00,0,0,0,0,0,,,12/30/1899 16:44:00,,0,4/7/15 0:00,0,Focal Aborted - Less than 10 minutes,0,,0,
AV27535,FS27476,Katta/,AF,12/30/1899 7:58:00,0,0,0,0,0,Still in Gustavia CD-15-022.,,12/30/1899 8:18:00,,0,4/11/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27535,FS27477,Kahlo/,INF12,12/30/1899 8:20:00,0,0,0,0,0,Still in Gustavia CD-15-022,,12/30/1899 8:40:00,,0,4/11/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27535,FS27478,Kong/,AM,12/30/1899 9:42:00,0,0,0,0,0,,,12/30/1899 10:50:00,,0,4/11/15 0:00,1,Focal Aborted - Less than 10 minutes,0,,0,
AV27535,FS27479,Katta/,AF,12/30/1899 9:52:00,0,0,0,0,0,,,12/30/1899 10:12:00,,0,4/11/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27535,FS27480,Kahlo/,INF12,12/30/1899 10:14:00,0,0,0,0,0,,,12/30/1899 10:34:00,,0,4/11/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27535,FS27481,Kong/,AM,12/30/1899 11:04:00,0,0,0,0,0,,,12/30/1899 11:24:00,,0,4/11/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27555,FS27482,Kong/,AM,12/30/1899 11:05:00,0,0,0,0,0,,,12/30/1899 11:25:00,,0,4/23/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27555,FS27483,Kong/,AM,12/30/1899 10:09:00,0,0,0,0,0,,,12/30/1899 10:29:00,,0,4/23/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27555,FS27484,Kong/,AM,12/30/1899 8:55:00,0,0,0,0,0,,,12/30/1899 9:15:00,,0,4/23/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27555,FS27485,Kong/,AM,12/30/1899 13:51:00,0,0,0,0,0,,,12/30/1899 14:11:00,,0,4/23/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27555,FS27486,Kahlo/,INF12,12/30/1899 14:45:00,0,0,0,0,0,,,12/30/1899 15:05:00,,0,4/23/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27535,FS27487,Katta/,AF,12/30/1899 11:48:00,0,0,0,0,0,,,12/30/1899 12:08:00,,0,4/11/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27535,FS27488,Kahlo/,INF12,12/30/1899 14:24:00,0,0,0,0,0,Kahlo is still eating a fruit the size of her head in CD-15-022.,,12/30/1899 14:44:00,,0,4/11/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27535,FS27489,Katta/,AF,12/30/1899 15:12:00,0,0,0,0,0,,,12/30/1899 15:32:00,,0,4/11/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27535,FS27490,Kahlo/,INF12,12/30/1899 15:36:00,0,0,0,0,0,,,12/30/1899 15:56:00,,0,4/11/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27535,FS27491,Katta/,AF,12/30/1899 17:13:00,0,0,0,0,0,At scan 12 monkeys must have moved into sleeping tree. ,,12/30/1899 17:33:00,,0,4/11/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27536,FS27492,Kong/,AM,12/30/1899 8:05:00,0,0,0,0,0,"Throughout complete focal, Kong and Kahlo were foraging on buds in CD-11-007.",,12/30/1899 8:25:00,,0,4/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27536,FS27493,Katta/,AF,12/30/1899 8:29:00,0,0,0,0,0,,,12/30/1899 8:49:00,,0,4/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27536,FS27494,Katta/,AF,12/30/1899 10:33:00,0,0,0,0,0,,,12/30/1899 10:45:00,,0,4/12/15 0:00,0,Focal Aborted - Less than 10 minutes,0,,0,
AV27536,FS27495,Katta/,AF,12/30/1899 11:15:00,0,0,0,0,0,,,12/30/1899 11:25:00,,0,4/12/15 0:00,0,Focal Aborted - Less than 10 minutes,0,,0,
AV27536,FS27496,Kong/,AM,12/30/1899 11:31:00,0,0,0,0,0,Katta was somewhere in another tree. Not nearby.,,12/30/1899 11:51:00,,0,4/12/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27557,FS27497,Bongo/,AM,12/30/1899 15:19:00,0,0,0,0,0,,,12/30/1899 15:39:00,,0,4/28/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27559,FS27498,INF15/,INF15,12/30/1899 11:24:00,0,0,0,0,0,,,12/30/1899 11:44:00,,0,4/29/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27559,FS27499,AF/,AF,12/30/1899 11:46:00,0,0,0,0,0,,,12/30/1899 12:00:00,,0,4/29/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27552,FS27500,Kong/,AM,12/30/1899 14:12:00,0,0,0,0,0,,,12/30/1899 14:32:00,,0,4/22/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27552,FS27501,Katta/,AF,12/30/1899 14:50:00,0,0,0,0,0,,,12/30/1899 15:10:00,,0,4/22/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
